bookid,myanimelisturl,title,imgurl,chapters,volumes,publishedstart,publishedend,synopsis,background
24,https://myanimelist.net/manga/24/DGray-man,D.Gray-man,https://cdn.myanimelist.net/images/manga/3/240470l.jpg,,,2004-05-31T00:00:00+00:00,,"Thousands of years ago, there existed those gifted with the power of God. Their mission: to destroy the ominous evils that lurk in the darkness known as ""Akuma."" Led by the Milenium Earl, Akuma seek to destroy fragments of ""Innocence,"" the only weapons capable of harming the Earl and his army and bring about the Great Flood from a hundred years ago. To prevent this tragedy from happening, the Black Order was formed as an organization dedicated to fighting the Earl. They recruit Exorcists, those with the inherent ability to accomodate Innocence, to fight against the Akuma. In the late 19th century, Allen Walker—a white-haired boy armed with Innocence that takes the form of his entire left arm and a cursed eye that can see Akuma—is sent to the Black Order. There, Allen meets various comrades from the Order—the mercurial Yuu Kanda, the kindhearted Lenalee Lee, and the cheerful yet mysterious Lavi. Despite their different personalities, they have one goal in mind: to bring salvation to the souls of Akuma and prevent the Earl from destroying the world. [Written by MAL Rewrite]","D.Gray-man has been published in English by VIZ Media under the Shonen Jump Advanced imprint since May 2, 2006 and in 3-in-1 omnibus editions since July 2, 2013. It has been also published in Spanish, first the first 23 volumes by Glénat until August 2012, when Shueisha broke the contract with Glénat, and then by Ivrea since July 2013, re-editing the first 23 volumes and simultaneously publishing new volumes; and in Italian by Panini Comics under the Planet Manga imprint since July 20, 2006."
25,https://myanimelist.net/manga/25/Fullmetal_Alchemist,Fullmetal Alchemist,https://cdn.myanimelist.net/images/manga/3/243675l.jpg,116,27,2001-07-12T00:00:00+00:00,2010-09-11T00:00:00+00:00,"Alchemists are knowledgeable and naturally talented individuals who can manipulate and modify matter due to their art. Yet despite the wide range of possibilities, alchemy is not as all-powerful as most would believe. Human transmutation is strictly forbidden, and whoever attempts it risks severe consequences. Even so, siblings Edward and Alphonse Elric decide to ignore this great taboo and bring their mother back to life. Unfortunately, not only do they fail in resurrecting her, they also pay an extremely high price for their arrogance: Edward loses his left leg and Alphonse his entire body. Furthermore, Edward also gives up his right arm in order to seal his brother's soul into a suit of armor. Years later, the young alchemists travel across the country looking for the Philosopher's Stone, in the hopes of recovering their old bodies with its power. However, their quest for the fated stone also leads them to unravel far darker secrets than they could ever imagine. [Written by MAL Rewrite]","Hagane no Renkinjutsushi won the 49th Shogakukan Manga Award for the shounen demographic in 2004. Hiromu Arakawa also won the 15th Tezuka Osamu Cultural Prize in the New Artist Prize category for the series in 2011. As of 2015, over 64 million copies of the series have been sold worldwide, making it one of Square Enix's most successful publications, according to Nielsen Bookscan. A live-action film is in development by Warner Bros. Japan and is scheduled for release in Winter 2017. The series was published in English as Fullmetal Alchemist by VIZ Media from May 3, 2005 to December 20, 2011, and in eBook format by Yen Press on April 15, 2014. A 3-in-1 omnibus edition was released by VIZ from June 7, 2011 to November 11, 2014 as well as a complete box set in November 1, 2011 (which included the novel Fullmetal Alchemist: The Ties That Bind). The manga was also published in Italian by Panini Comics under the Planet Manga imprint from July 13, 2006 to September 3, 2011, in Polish by J.P. Fantastica from January 2006 to to April 2012, in Brazilian Portuguese by Jbc from February 2007 to April 2011 and in Spanish by Ivrea Argentina starting December 12, 2016."
26,https://myanimelist.net/manga/26/Hunter_x_Hunter,Hunter x Hunter,https://cdn.myanimelist.net/images/manga/2/253119l.jpg,,,1998-03-03T00:00:00+00:00,,"""Secret treasure hoards, undiscovered wealth... mystical places, unexplored frontiers... 'The mysterious unknown.' There's magic in such words for those captivated by its spell. They are called 'Hunters'!"" Gon Freecss wants to become a Hunter so he can find his father, a man who abandoned him to pursue a life of adventure. But it's not that simple: only one in one hundred thousand can pass the Hunter Exam, and that is just the first obstacle on his journey. During the Hunter Exam, Gon befriends many other potential Hunters, such as the mysterious Killua; the revenge-driven Kurapika; and Leorio, who aims to become a doctor. There's a world of adventure and peril awaiting, and those who embrace it with open arms can become the greatest Hunters of them all! [Written by MAL Rewrite]","Hunter x Hunter has been published in English by VIZ Media under the Shonen Jump Advanced imprint since April 5, 2005; in Brazilian Portuguese by Jbc since January 2008; in Spanish by Panini Comics since October 2012; and in Italian by Panini Comics. The series has been serialized irregularly since 2006 due to Yoshihiro Togashi's health problems."
27,https://myanimelist.net/manga/27/X,X,https://cdn.myanimelist.net/images/manga/2/267781l.jpg,158,18,1992-03-24T00:00:00+00:00,2003-03-24T00:00:00+00:00,"Six years ago, Kamui Shirou and siblings Fuuma and Kotori Monou were inseparable childhood friends. After the sudden, gruesome death of the Monou siblings' mother, Kamui was taken away from Tokyo by his own mother. In the years that passed, the two lived peacefully while Kamui strengthened his innate telekinetic abilities. When his mother passes away in 1999, her dying wish prompts him to return to Tokyo to face his ""destiny."" When Kamui reappears in the city, his attitude has taken a drastic turn, and he displays the growth of his powers through violent confrontations in the streets. Various opponents come after him asking if he is ""Kamui,"" but they seem to be demanding something far more significant than his name. These fighters represent two opposite factions—the Dragons of Heaven and the Dragons of Earth—who each wish to recruit him to their cause. Piecing together clues about the apocalyptic ""promised day,"" Kamui realizes that he holds the fate of the world in his hands. Depending on which group of Dragons he allies himself with, he can either choose to save the world—or end it. [Written by MAL Rewrite]","X is written and illustrated by the four-person team of CLAMP. It is currently incomplete, but CLAMP has stated their intention to one day conclude the series if they can. It started serialization in Kadokawa Shoten's Monthly Asuka shoujo manga magazine in May 1992 and stopped serialization in March 2003. Events depicted in the manga were too similar for comfort to real-life disasters that occurred in Japan, which contributed to the series' halt. Chapters of X have been collected in eighteen and a ""half"" volumes, out of a total twenty-one volumes expected. X has been adapted into various anime that speculate about events that occurred before the manga started or after the point where the manga left off. The series was published in English by VIZ Media as 3-in-1 omnibus volume from November 8, 2011 to August 13, 2013."
28,https://myanimelist.net/manga/28/Nana,Nana,https://cdn.myanimelist.net/images/manga/1/262324l.jpg,84,21,2000-05-26T00:00:00+00:00,2009-05-26T00:00:00+00:00,"Nana Komatsu is a naive, unmotivated girl who spends her high school days chasing one crush after the other. Despite continually facing failure in her quest for love, her spirits have never dampened. At the age of 20, she finds herself on a train to Tokyo with hopes of reuniting with her current boyfriend. Nana Osaki, on the other hand, is feisty and prideful. After joining a local band during her high school days, she falls in love with music and one of the band members. However, when faced with the choice between her relationship and her musical career, she chooses the latter and separates from her boyfriend. On her 20th birthday, she boards the same train to Tokyo, like her namesake, where she aims to become a top vocalist. The two girls with the same name but very different aspirations find themselves sitting together on their journey to the city, and, as fate would have it, eventually share the same apartment. A deep and unique bond is then forged, where they will support each other in this saga of love, music, friendship, and heartbreak. [Written by MAL Rewrite]","Nana has been published in English by VIZ Media under the Shojo Beat imprint since December 6, 2005; in Spain by Planeta Cómic since 2007; and in Argentina by Editorial Ivrea since 2009. The series was placed on hiatus since the July 2009 issue of Cookie due to the mangaka's sudden illness."
29,https://myanimelist.net/manga/29/Paradise_Kiss,Paradise Kiss,https://cdn.myanimelist.net/images/manga/1/262323l.jpg,48,5,1999-03-23T00:00:00+00:00,2003-03-22T00:00:00+00:00,"After two eccentrically dressed individuals ambush her, high school student Yukari Hayasaka promptly passes out due to shock. She soon awakens to find herself surrounded by even more strangely dressed people in the basement studio of Paradise Kiss—a fashion design club composed of four students from Yazawa School for the Arts. Although it seems like Yukari has been kidnapped, the older students explain that they only approached her to see if she would model their collection for an upcoming fashion show. Being a senior with a busy schedule, Yukari furiously rejects the group's offer. But when she drops her student passbook in her haste to leave, the ringleader of the group, George Koizumi, picks it up and uses it as a means to coerce Yukari into considering their request. After hearing about the other members' unbridled ambition, Yukari is inspired to reevaluate her own circumstances and eventually agrees to help them out. Now as Paradise Kiss' model, Yukari must learn to balance her new responsibilities with her hectic personal life. However, the more time she spends with George and the rest of the team, the harder it becomes for her to avoid getting swept up in the glitz and glamor of the fashion world. [Written by MAL Rewrite]","Paradise Kiss was published in English by Tokyopop from May 21, 2002 to March 9, 2004. Due to Tokyopop dissolving in 2011, Vertical Inc. acquired the publishing rights and republished the entire series in three volumes from September 25, 2012 to March 5, 2013. The manga received a live-action film adaptation produced by Fox International, which was released in Japan on June 4, 2011. A mobile game based on the series was published by Hot Pod on June 6, 2011."
30,https://myanimelist.net/manga/30/Ouran_Koukou_Host_Club,Ouran Koukou Host Club,https://cdn.myanimelist.net/images/manga/3/267782l.jpg,87,18,2002-07-24T00:00:00+00:00,2010-09-24T00:00:00+00:00,"At Ouran High School, an academy where only the children of the rich and powerful attend, there exists a club consisting of the most elite of the student body: the legendary Host Club. Within the club's room, six beautiful, bored boys spend their time entertaining equally beautiful and bored girls. Haruhi Fujioka, a poor scholarship student, has no interest in the Host Club—until she breaks a valuable vase in their clubroom. After being mistaken for a boy, Haruhi is forced by Kyouya Ootori to work for the Host Club to repay her debt. Tamaki Suou, the princely leader of the club, eagerly takes her under his wing to teach her the ways of the host. Things, however, are never quite so simple with the Host Club around. Even the most mundane events can turn into huge spectacles with the likes of prankster twins Hikaru and Kaoru Hitachiin, stoic Takashi Morinozuka, and sweet Mitsukuni ""Hunny"" Haninozuka. The crazy adventures of the Host Club are just beginning, and Haruhi must learn how to survive in the glitzy world of the hosts. [Written by MAL Rewrite] Note: The final volume contains a special bonus chapter where the group travels to Spain.","Ouran Koukou Host Club was published in English as Ouran High School Host Club by VIZ Media under the Shojo Beat imprint from July 5, 2005 to June 5, 2012. An 18-volume boxed-set including an exclusive notepad featuring character's art was released on November 6, 2012. It was also was published in Polish by Japonica Polonica Fantastica from October 2009 to September 2013."
31,https://myanimelist.net/manga/31/Lovely★Complex,Lovely★Complex,https://cdn.myanimelist.net/images/manga/1/209659l.jpg,68,17,2001-08-13T00:00:00+00:00,2007-08-13T00:00:00+00:00,"When the taller than average 172 cm Risa Koizumi learns that her occasional nemesis, the shorter than average 156 cm Atsushi Ootani, is romantically interested in her friend, she decides to team up with him. After all, she also has feelings for his friend. Unluckily, however, their respective crushes fall for each other instead. Determined to find new love after their recent misfortunes, the pair decide to cheer each other on while maintaining their usual dynamic of constant bickering. Although they continually deny it, Risa and Ootani are more similar than they like to admit: they both have unusual heights, failing grades, identical tastes in food, and a tendency to act extremely childish. Together, they inspire laughter among their peers as a so-called comedic duo. Could the love that these two are looking for be closer than they think? [Written by MAL Rewrite] Included one-shots: Volume 12: Hoshi ni Nattemo Aishiteru Volume 16: Bokura no Ibasho","Lovely★Complex won the 49th Shogakukan Manga Award for shoujo in 2004. The manga was published in English as Love★Com by VIZ Media under the Shojo Beat imprint from July 3, 2007 to March 2, 2010 and was adapted to two drama CDs, a live-action movie and PlayStation 2 game in 2006, and a TV anime series in 2007."
32,https://myanimelist.net/manga/32/666_Satan,666 Satan,https://cdn.myanimelist.net/images/manga/3/267783l.jpg,78,19,2001-08-11T00:00:00+00:00,2007-12-12T00:00:00+00:00,"In the not too distant future, mankind battles over O-Parts, relics from an ancient civilization. It takes a special kind of person to unlock the full potential of these remnants from the past, and a unique breed of humans known as O.P.T.s (or O-Parts Tacticians) become a force to be reckoned with. Unfortunately, O-Parts can be used for good or evil purposes. Jio is a young boy with a tragic past who only trusts one thing in the world: money. Little does he suspect that he is actually a very powerful O.P.T., and inside him sleeps a demon of incredible ferocity. He meets up with a girl named Ruby, and together they decide to embark on a dangerous quest to discover as many O-Parts as they can. Will Jio help Ruby realize her dream of becoming a world famous treasure hunter? More importantly, will Ruby help Jio realize his dream of--world domination?! (Source: Viz Media) Included one-shots: Volume 6: Trigger","666 Satan was published in English as O-Parts Hunter by VIZ Media from December 12, 2006 to December 8, 2009; in Italian by J-POP from June 6, 2008 to July 25, 2010; and in Spanish by EDT/Glénat from July 2009 to June 2012."
33,https://myanimelist.net/manga/33/Pita-Ten,Pita-Ten,https://cdn.myanimelist.net/images/manga/3/191236l.jpg,47,8,1999-08-27T00:00:00+00:00,2003-06-27T00:00:00+00:00,"Kotarou Higuchi is a sixth-grade student who not only has to work hard to get into a good middle school, but he also has to deal with the responsibilities that come with living in an apartment all by himself. One day, while leaving for school, he is greeted with a surprise: an unfamiliar, older girl in a frilly black dress is waiting by his front door, asking to be friends with him! Despite his attempts at ignoring her, the strange girl determinedly follows Kotarou all the way to school and back. Giving in, Kotarou finds out that the strange girl's name is Misha and that she is his new neighbor, supposedly from Heaven to work on becoming a full-time angel. What will become of Kotarou and his life with this ""clingy angel""? [Written by MAL Rewrite]","Pita-Ten was published in English by Tokypop from January 13, 2004 to March 8, 2005."
34,https://myanimelist.net/manga/34/Di_Gi_Charat__Koushiki_Comic_Anthology,Di Gi Charat: Koushiki Comic Anthology,https://cdn.myanimelist.net/images/manga/1/267784l.jpg,72,4,1998-07-01T00:00:00+00:00,2000-03-01T00:00:00+00:00,"On planet Di Gi Charat, little Digiko was a pampered princess. Now living on Earth, the green-haired moppet is working for minimum wage at a hobby shop in Japan. Who ever said it was easy being cute? Based on the popular anime series, Di Gi Charat also features bratty Usada, shy boy Minagawa, and Digiko's wacky companions Puchiko and Gemo! (Source: VIZ Media)","Di Gi Charat: Koushiki Comic Anthology was published in English as Di Gi Charatf by VIZ Media from December 24, 2003 to April 28, 2004."
35,https://myanimelist.net/manga/35/Kamichama_Karin,Kamichama Karin,https://cdn.myanimelist.net/images/manga/2/267789l.jpg,32,7,2002-11-02T00:00:00+00:00,2008-04-03T00:00:00+00:00,"After the death of her beloved cat, orphan Karin Hanazono is left lonesome and empty. As she does not have any friends and performs poorly at school, her mean-spirited aunt resents having to take care of her. Wholeheartedly believing that God will grant her salvation one day, she tightly holds onto the ring that her mother passed down to her. Seeking solace by spending time at her late cat's grave, Karin unexpectedly meets a boy named Kazune Kuujou, who claims he is looking for God. However, Kazune calls her weak for relying on her deceased cat for comfort. Angered by the insult, Karin subconsciously channels energy into her mother's ring. Soon enough, she begins to excel at school and classmates compliment her for the first time. Unbeknownst to her, the ring has bestowed her godly powers. The revelation of the ring's transcendent strength catches the eyes of not only Kazune but also more sinister figures who wish to take advantage of Karin for nefarious purposes. Karin must now use her newly acquired gift to fight back against these malicious forces, unaware of the truth behind her heritage and the existence of others with similar abilities. [Written by MAL Rewrite]","Kamichama Karin was first published in English by Tokyopop from September 30, 2005 to May 1, 2007. Del Rey later took over the license, and published the series from June 24, 2008 to January 26, 2010."
36,https://myanimelist.net/manga/36/Kamikaze_Kaitou_Jeanne,Kamikaze Kaitou Jeanne,https://cdn.myanimelist.net/images/manga/2/267790l.jpg,33,7,1997-12-29T00:00:00+00:00,2000-06-03T00:00:00+00:00,"It's nearly the end of the century, and one girl has been breaking the news: Kaitou Jeanne, a phantom thief supposedly sent by God, has been stealing paintings all around the city. Her real identity is Maron Kusakabe, a 16-year-old rhythmic gymnastics enthusiast and student at Momokuri Academy— something unknown to all, even her best friend Miyako Toudaiji, who is in charge of the police chase for Jeanne. Hidden inside the paintings Maron steals are demons sent by the demon lord, who plans to weaken God's power by having his minions possess human hearts. Assisted by the minor angel Finn Fish, it is up to Maron as the reincarnation of Jeanne d'Arc to assume her alter ego, hunt down the cursed paintings, and seal the vile demons away. However, the tough job of balancing this duty with her lonesome high school life only proves more challenging when a mysterious new phantom thief makes his appearance—Kaitou Sinbad. [Written by MAL Rewrite]","Kamikaze Kaitou Jeanne was published in English by CMX Manga from November 1, 2005 to January 24, 2007. After the publisher went defunct, VIZ Media picked up the license and republished the series from March 4, 2014 to November 4, 2014, following the 2013 5-volume reprint in Japan."
37,https://myanimelist.net/manga/37/Shinshi_Doumei_Cross,Shinshi Doumei Cross,https://cdn.myanimelist.net/images/manga/3/257940l.jpg,59,11,2004-08-03T00:00:00+00:00,2008-06-03T00:00:00+00:00,"Imperial Academy is an elite private school whose student body is divided into the ranks of Gold, Silver, and Bronze. Depending on your family's wealth and your individual merit, you can be classified as a Silver or Bronze student. However, there is only one Gold student, and this year that person is Shizumasa Touguu—nicknamed ""the Emperor"" because he is the Student Council President. When she was very young, Haine Otomiya fell in love with Shizumasa, after reading the children's picture book that he authored. She had met him twice before attending Imperial Academy, but as a Bronze student, her rank is far below his, so she has been unable to approach him at school. Haine jumps at an opportunity to get close to Shizumasa, and she unexpectedly becomes his bodyguard as well as a member of the Student Council. It seems like a dream come true for her, but soon she will learn that everyone in the Student Council is hiding secrets, and her own shameful history cannot be forgotten either. [Written by MAL Rewrite] Included one-shots","Shinshi Doumei Cross was published in English as The Gentlemen's Alliance Cross by VIZ Media under the Shojo Beat imprint from March 6, 2007 to April 6, 2010."
38,https://myanimelist.net/manga/38/_Anima,+Anima,https://cdn.myanimelist.net/images/manga/2/267791l.jpg,59,10,1999-12-27T00:00:00+00:00,2005-01-27T00:00:00+00:00,"+Anima are rare and mysterious human-like beings capable of transforming their body into the form of an animal, but they are ostracised from society by humans. Cooro, a young orphaned +Anima with the abilities of a crow, struggles to find acceptance and belonging. Having been found on a church altar as a baby, he knows little of his origins and his species despite the poor reputation they receive. Thus, he resolves to search for more of his kind. Together with his newfound companions—Husky, Nana Alba, and Senri—Cooro embarks on a quest to meet other outcasts and discover their place in an unforgiving world. As the bond between the four +Anima grows to become unbreakable throughout their travels, a sense of adventure seems everlasting. However, the group soon realizes that finding somewhere to belong might prove more challenging than previously anticipated. +Anima follows the hardships and adventures of Cooro and his friends as they learn of the difficulties and prejudice experienced by their kin. [Written by MAL Rewrite]","+Anima was licensed by Tokyopop in the United States and Canada, publishing an English translation of the series from May 9, 2006 to December 9, 2008. Madman Entertainment licensed the manga in Australia and New Zealand."
39,https://myanimelist.net/manga/39/Zombie_Powder,Zombie Powder.,https://cdn.myanimelist.net/images/manga/3/180035l.jpg,30,4,1999-07-20T00:00:00+00:00,2000-02-15T00:00:00+00:00,"Gamma Akutabi is a mysterious figure, drifting through the western desert with a giant sword slung over his shoulder and a right arm made completely of metal spreading up and over his cheek. He searches endlessly for a mythical set of 12 Rings of the Dead—jewelry said to give life to the possessor. These rings are hunted by mercenaries and outlaws alike for a wide variety of reasons, but Gamma seeks to grant himself eternal life by possessing all 12. Gamma comes across teenager John Elwood Shepherd in his travels, who decides to follow Gamma after a brutal fight claims the life of his sister. Elwood seeks to use the Rings of the Dead to bring his sister back to life and quickly develops an admiration for Gamma, whose combat prowess saves Elwood's life time after time. Along the way, the two travelers encounter new friends and old allies from Gamma's past, working with them to defeat enemies who seek to use the Rings of the Dead for their own nefarious purposes. [Written by MAL Rewrite] Included one-shots: Volume 2: Ultra Unholy Hearted Machine Volume 3: Kokumashi Urara (Rune Master Urara) Volume 4: Bad Shield United","Zombie Powder. was published in English by VIZ Media under the Shonen Jump imprint from September 5, 2006 to June 5, 2007."
40,https://myanimelist.net/manga/40/Black_Cat,Black Cat,https://cdn.myanimelist.net/images/manga/2/186071l.jpg,187,20,2000-07-11T00:00:00+00:00,2004-06-14T00:00:00+00:00,"Train Heartnet is an amicable bounty hunter—known as a ""Sweeper""—with a talent for sharpshooting. Working alongside his cool-headed partner Sven Vollfied, they hunt down wanted criminals. Unfortunately, however, despite their efforts, the dynamic duo always seems to be short on money, which forces them to accept a job from the beautiful Rinslet Walker, a sly thief for hire, and a mysterious girl named Eve. However, the motley crew soon discovers a terrible plot to revolutionize the world, and the mastermind is someone Train knows and loathes with a passion. As the plan is set into motion, it is soon made clear that behind the carefree sharpshooter's smiling face lies a tragic past and an insatiable desire for revenge. [Written by MAL Rewrite] Included one-shot: Volume 8: Stray Cat (pilot)","Black Cat was published in English by VIZ Media under the Shonen Jump imprint from March 7, 2006 to May 5, 2009 and in Italian by Star Comics from February 3, 2004 to April 2, 2007."
41,https://myanimelist.net/manga/41/Busou_Renkin,Busou Renkin,https://cdn.myanimelist.net/images/manga/2/149583l.jpg,83,10,2003-06-23T00:00:00+00:00,2006-04-25T00:00:00+00:00,"Busou Renkin is the story of the teenager Kazuki Mutou, who dies trying to save a girl who was being attacked by an eerie monster. The next morning, however, Kazuki is left wondering whether it was all a dream. Lo and behold, the girl, the monster, and his death are all real! The girl, Tokiko Tsumura, was actually trying to slay the homunculus (a beast that can take the form of humans, but whose main source of food is people), but Kazuki got in her way. To revive Kazuki, Tokiko replaces his heart with a ""kakugane,"" an alchemic device that allows him to summon a lance with which to fight the monsters. It turns out that Tokiko is a member of Renkin Kenshi (Alchemist Soldiers)—an organization sworn to protect the world from the diabolical creatures. Soon, Kazuki joins Tokiko in her quest to terminate the sinister being that creates and controls the homunculus. (Source: VIZ Media) Included one-shot: Volume 10: Embalming: Dead Body and Bride","This manga was published in English by VIZ Media under Shonen Jump Advanced imprint from August 1, 2006 to February 5, 2008."
42,https://myanimelist.net/manga/42/Dragon_Ball,Dragon Ball,https://cdn.myanimelist.net/images/manga/1/267793l.jpg,520,42,1984-11-20T00:00:00+00:00,1995-05-23T00:00:00+00:00,"Bulma, a headstrong 16-year-old girl, is on a quest to find the mythical Dragon Balls—seven scattered magic orbs that grant the finder a single wish. She has but one desire in mind: a perfect boyfriend. On her journey, Bulma stumbles upon Gokuu Son, a powerful orphan who has only ever known one human besides her. Gokuu possesses one of the Dragon Balls, it being a memento from his late grandfather. In exchange for it, Bulma invites Gokuu to be a companion in her travels. By Bulma's side, Gokuu discovers a world completely alien to him. Powerful enemies embark on their own pursuits of the Dragon Balls, pushing Gokuu beyond his limits in order to protect Bulma and their growing circle of allies. However, Gokuu has secrets unbeknownst to even himself; the incredible strength within him stems from a mysterious source, one that threatens the many people he grows to hold dear. As his prowess in martial arts flourishes, Gokuu attracts stronger opponents whose villainous plans could collapse beneath his might. He undertakes the endless venture of combat training to defend his loved ones and the fate of the planet itself. [Written by MAL Rewrite]","Dragon Ball has become one of the most successful manga series of all time, with over 230 million copies sold worldwide with 157 million in Japan alone, making it the third all-time best selling manga as of 2015, and the #1 manga series not currently publishing. The series is often credited for the ""Golden Age of Jump"" where the magazine's circulation was at its highest. VIZ Media serialized the manga in English from March 1998 to March 2005 in monthly comic book anthology format; and was later collected into traditional tankobon format volumes from March 12, 2003 to June 6, 2006. To closer follow the English anime localization, the series is split; in which volumes 17-42 are titled Dragon Ball Z and renumbered as volumes 1-26. Other releases by VIZ include the large format VIZ Big Edition, kanzenban cover based 3-in-1 Edition, and a Full Color Edition of chapters 195-245. Other English publishers include Madman Entertainment in Australia/New Zealand, and the now defunct Gollancz Manga (distribution rights transferred to VIZ) in the United Kingdom. The series is also published in Spanish by Planet DeAgostini Cómics and in French by Glénat Editions."
43,https://myanimelist.net/manga/43/Eyeshield_21,Eyeshield 21,https://cdn.myanimelist.net/images/manga/2/165586l.jpg,333,37,2002-07-23T00:00:00+00:00,2009-06-15T00:00:00+00:00,"Timid, diminutive, and frequently the target of bullies, Sena Kobayakawa has just enrolled at Deimon Private High School. When he angers a group of delinquents by refusing to act as their errand boy, he makes an incredibly speedy getaway, an ability he has developed through years of running from his tormentors. Youichi Hiruma—the demonic captain of the Deimon Devil Bats football team—happens to be nearby, and seeing Sena's ""golden legs"" at work, forcibly recruits him as a running back despite Sena's desire to be team manager instead. Made to don the number 21 jersey and a special helmet to hide his identity as a player, Sena becomes ""Eyeshield 21,"" the team's closely guarded secret weapon. Soon he realizes his love for the sport, and aims to help the Devil Bats reach the Christmas Bowl, the high school football championship. [Written by MAL Rewrite]","Eyeshield 21 has sold more than 20 million copies in Japan and also has games produced by Konami and Nintendo. The series was published in English by VIZ Media under Shonen Jump Advanced imprint from April 5, 2005 to October 4, 2011 and has been licensed in France, Hong Kong, Indonesia, Italy, Taiwan, and South Korea."
44,https://myanimelist.net/manga/44/Gintama,Gintama,https://cdn.myanimelist.net/images/manga/3/267795l.jpg,709,77,2003-12-08T00:00:00+00:00,2019-06-20T00:00:00+00:00,"During the Edo period, Japan is suddenly invaded by alien creatures known as the ""Amanto."" Despite the samurai's attempts to combat the extraterrestrial menace, the Shogun soon realizes that their efforts are futile and decides to surrender. This marks the beginning of an uneasy agreement between the Shogunate and Amanto, one that results in a countrywide sword ban and the disappearance of the samurai spirit. However, there exists one eccentric individual who wields a wooden sword and refuses to let his samurai status die. Now that his kind are no longer needed, Gintoki Sakata performs various odd jobs around town in order to make ends meet. Joined by his self-proclaimed disciple Shinpachi Shimura, the fearsome alien Kagura, and a giant dog named Sadaharu, they run the business known as Yorozuya, often getting caught up in all sorts of crazy and hilarious shenanigans. [Written by MAL Rewrite] Included one-shots: Volume 1: Dandelion Volume 2: Shirokuro (Black and White) Volume 24: 13 Volume 38: Bankara-san ga Tooru","As of February 2018, publisher Shueisha revealed that Gintama has more than 55 million copies in print in Japan. The series was nominated for Best Manga under the comedy category in 2008 at the Society for the Promotion of Japanese Animation. VIZ Media published the manga in English as Gin Tama under the Shonen Jump Advanced imprint, with 23 volumes published from July 3, 2007 to August 2, 2011 before release was discontinued. It was also published in Spanish by Glénat, with 16 volumes published from October 2007 to May 2010; and in Italian by Planeta DeAgostini from July 4, 2008 to January 9, 2010 before release was discontinued. Star Comics picked up the license and re-released volume 1 on April 25, 2015."
45,https://myanimelist.net/manga/45/Ichigo_100,Ichigo 100%,https://cdn.myanimelist.net/images/manga/2/259714l.jpg,167,19,2002-02-19T00:00:00+00:00,2005-08-01T00:00:00+00:00,"Strawberry panties backdropped against a sunset sky—that was aspiring film director Junpei Manaka's introduction to a mysterious beauty at his middle school. Suspecting the girl is his classmate Aya Toujou, Junpei sets out to get in touch with her to refilm that skirt flip for ""artistic"" reasons. However, when he bumps into her the next day, he sees a girl that looks vastly different from the one in his memories. Just when Junpei thinks he is back to the drawing board, he runs into the school's darling, Tsukasa Nishino, boldly declaring that she is wearing strawberry panties for the day. Convincing himself that Tsukasa is the girl he has been looking for all along, Junpei starts planning his confession—all for the sake of becoming her boyfriend and filming her panties! [Written by MAL Rewrite]","Ichigo 100% was published in English as Strawberry 100% by VIZ Media under its Shonen Jump Advanced imprint from July 3, 2007, to October 5, 2010, up to the 14th volume. To promote the publication of manga in Germany, the series was released in German as 100% Strawberry by Tokyopop GmbH from April 2006, to August 2009, in collaboration with VIZ Media and Shueisha. The manga was also published in Brazilian Portuguese as 100% Morango by Panini Comics under its Planet Manga imprint from April 2010, to April 2013."
46,https://myanimelist.net/manga/46/Kannade,Kannade,https://cdn.myanimelist.net/images/manga/3/267796l.jpg,15,2,2003-09-22T00:00:00+00:00,2003-12-15T00:00:00+00:00,"Akito Hayama is the infamous God Hand, an art thief who steals only masterpieces. But these arn't your ordinary art pieces, they're actually copies made by Akito's missing mother. Akito is caught by an underground art broker and consequently learns the reason for the disappearance of his mother. In a attempt to save himself, a new found ability 'Kannade' emerges within Akito, as well as the quest to find certain art pieces by Akito's mother and what Kannade's fate really is. Included one-shot: Volume 2: Kannade (pilot), God Hand",
47,https://myanimelist.net/manga/47/Katekyou_Hitman_Reborn,Katekyou Hitman Reborn!,https://cdn.myanimelist.net/images/manga/2/253085l.jpg,411,42,2004-05-24T00:00:00+00:00,2012-11-12T00:00:00+00:00,"The life of Tsunayoshi ""No-Good Tsuna"" Sawada is a complete wreck. Terrible grades, horrible fitness, and a non-existent social life means he has no reason to attend school, especially after discovering that his crush, Kyouko Sasagawa, is already seeing someone. Unbeknownst to him however, the blood of Giotto, the great Vongola the First, runs through his veins. Enter home tutor Reborn, an infant who claims to be the world's greatest hitman. Under orders from Vongola the Ninth, Reborn has come to train Tsuna to become a worthy successor to the famous Vongola Famiglia name. Tsuna, however, refuses, and claims that he will never become a mafia boss. How will the world's greatest hitman react to such opposition? Will he force Tsuna to adhere? Or will he use this unwillingness to his advantage? This is a story of a reluctant successor as he takes on the responsibilities of becoming the underworld's next ruling mafia leader, with the help of his friends and a one-of-a-kind home tutor. [Written by MAL Rewrite]","Katekyou Hitman Reborn! was published in English as Reborn! by VIZ Media under the Shonen Jump Advanced imprint. 16 volumes were published from October 3, 2006 to July 6, 2010 before release was discontinued. It was also published in Brazilian Portuguese by Panini Comics/Planet Manga since February 2013."
